ID,N_VICTIMAS,FECHA,AAAA,MM,DD,TIPO_DE_CALLE,COMUNA,pos x,pos y,VICTIMA,ACUSADO,FH,FATAL
20160001,1,2016-01-01,2016,1,1,AVENIDA,8,-58.47533969,-34.68757022,MOTO,AUTO,Madrugada,1
20160002,1,2016-01-02,2016,1,2,GRAL PAZ,9,-58.50877521,-34.66977709,AUTO,PASAJEROS,Madrugada,1
20160003,1,2016-01-03,2016,1,3,AVENIDA,1,-58.39040293,-34.63189362,MOTO,AUTO,Mañana,1
20160005,1,2016-01-21,2016,1,21,AVENIDA,1,-58.38718297,-34.62246630,MOTO,PASAJEROS,Madrugada,1
20160008,1,2016-01-24,2016,1,24,AVENIDA,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,Noche,1
20160009,1,2016-01-24,2016,1,24,CALLE,11,-58.50095869,-34.60825440,MOTO,AUTO,Noche,1
20160010,1,2016-01-29,2016,1,29,GRAL PAZ,9,-58.50877521,-34.66977709,MOTO,AUTO,Tarde,1
20160012,1,2016-02-08,2016,2,8,AVENIDA,1,-58.38048577,-34.61303893,MOTO,CARGAS,Madrugada,1
20160013,1,2016-02-10,2016,2,10,AVENIDA,1,-58.39114932,-34.62477387,PEATON,AUTO,Mañana,1
20160015,1,2016-02-14,2016,2,14,AVENIDA,15,-58.43760020,-34.59912758,PEATON,AUTO,Madrugada,1
20160016,1,2016-02-14,2016,2,14,AVENIDA,4,-58.36882665,-34.64291993,MOTO,AUTO,Noche,1
20160017,1,2016-02-15,2016,2,15,AVENIDA,8,-58.44989671,-34.65970435,PEATON,MOTO,Tarde,1
20160019,1,2016-02-17,2016,2,17,CALLE,9,-58.50990884,-34.65468721,PEATON,PASAJEROS,Mañana,1
20160020,1,2016-02-17,2016,2,17,CALLE,1,-58.37952223,-34.60653282,PEATON,AUTO,Tarde,1
20160021,1,2016-02-17,2016,2,17,AVENIDA,7,-58.45157703,-34.63063795,AUTO,AUTO,Noche,1
20160022,1,2016-02-21,2016,2,21,AVENIDA,1,-58.38144696,-34.61079875,MOTO,AUTO,Mañana,0
20160025,1,2016-02-28,2016,2,28,GRAL PAZ,8,-58.46244952,-34.70524971,AUTO,AUTO,Madrugada,1
20160026,1,2016-02-28,2016,2,28,CALLE,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,Mañana,1
20160027,1,2016-02-28,2016,2,28,AVENIDA,7,-58.44497874,-34.63852623,AUTO,AUTO,Mañana,0
20160028,1,2016-03-02,2016,3,2,AVENIDA,1,-58.38199706,-34.60028648,PEATON,CARGAS,Mañana,1
20160029,1,2016-03-04,2016,3,4,AVENIDA,12,-58.47378664,-34.54153077,PEATON,PASAJEROS,Tarde,1
20160031,1,2016-03-08,2016,3,8,GRAL PAZ,8,-58.47064556,-34.69843756,MOTO,PASAJEROS,Tarde,0
20160034,1,2016-03-12,2016,3,12,AVENIDA,4,-58.40623949,-34.65076549,PEATON,PASAJEROS,Tarde,1
20160035,1,2016-03-13,2016,3,13,AVENIDA,3,-58.39228965,-34.60443527,MOTO,PASAJEROS,Mañana,1
20160036,1,2016-03-14,2016,3,14,CALLE,4,-58.37813396,-34.63668504,MOTO,PASAJEROS,Madrugada,1
20160037,1,2016-03-19,2016,3,19,AVENIDA,7,-58.46275892,-34.64358293,MOTO,MOTO,Mañana,1
20160038,1,2016-03-21,2016,3,21,GRAL PAZ,8,-58.49683458,-34.67892743,PEATON,PASAJEROS,Mañana,1
20160039,1,2016-03-23,2016,3,23,AVENIDA,3,-58.40603217,-34.60883960,MOTO,PASAJEROS,Madrugada,1
20160041,2,2016-03-29,2016,3,29,AVENIDA,7,-58.46076550,-34.63350444,MOTO,CARGAS,Mañana,2
20160043,1,2016-03-30,2016,3,30,AVENIDA,8,-58.47832463,-34.67494416,PEATON,CARGAS,Noche,1
20160044,1,2016-03-31,2016,3,31,AVENIDA,7,-58.43213235,-34.63693953,MOTO,MULTIPLE,Noche,1
20160047,1,2016-04-15,2016,4,15,CALLE,1,-58.38247061,-34.62571878,PEATON,PASAJEROS,Madrugada,1
20160048,1,2016-04-15,2016,4,15,AVENIDA,15,-58.44759966,-34.59170240,PEATON,PASAJEROS,Tarde,0
20160050,1,2016-04-19,2016,4,19,AVENIDA,8,-58.47305463,-34.68550712,PEATON,PASAJEROS,Mañana,1
20160051,1,2016-04-20,2016,4,20,AVENIDA,4,-58.40623949,-34.65076549,MOTO,CARGAS,Madrugada,1
20160053,1,2016-04-22,2016,4,22,AVENIDA,12,-58.48429180,-34.57558053,PEATON,PASAJEROS,Mañana,1
20160054,1,2016-04-23,2016,4,23,AUTOPISTA,8,-58.48695354,-34.68795245,MOTO,MOTO,Noche,1
20160055,1,2016-04-25,2016,4,25,AVENIDA,14,-58.40021959,-34.57964781,PEATON,CARGAS,Noche,1
20160056,1,2016-04-26,2016,4,26,AVENIDA,14,-58.42957885,-34.57660058,MOTO,OBJETO FIJO,Madrugada,1
20160058,1,2016-05-04,2016,5,4,CALLE,1,-58.38247542,-34.62556293,PEATON,MOTO,Tarde,1
20160059,1,2016-05-08,2016,5,8,CALLE,1,-58.38222219,-34.62728101,PEATON,PASAJEROS,Tarde,1
20160064,1,2016-05-14,2016,5,14,AVENIDA,10,-58.49485242,-34.62953445,PEATON,PASAJEROS,Noche,0
20160065,1,2016-05-20,2016,5,20,AVENIDA,6,-58.45227946,-34.61068024,PEATON,AUTO,Tarde,1
20160067,1,2016-05-21,2016,5,21,AVENIDA,8,-58.48455411,-34.67512760,MOTO,PASAJEROS,Tarde,0
20160068,1,2016-05-22,2016,5,22,AVENIDA,2,-58.39056593,-34.58418569,MOTO,PASAJEROS,Noche,0
20160069,1,2016-05-23,2016,5,23,AVENIDA,3,-58.39118948,-34.62704273,AUTO,CARGAS,Madrugada,1
20160073,1,2016-06-11,2016,6,11,CALLE,10,-58.49021952,-34.62025108,MOTO,CARGAS,Tarde,0
20160074,1,2016-06-12,2016,6,12,GRAL PAZ,8,-58.49896559,-34.67732118,AUTO,AUTO,Mañana,0
20160075,1,2016-06-12,2016,6,12,AUTOPISTA,8,-58.47461076,-34.66874679,PEATON,AUTO,Noche,1
20160076,1,2016-06-13,2016,6,13,AVENIDA,15,-58.46210891,-34.60356211,PEATON,PASAJEROS,Tarde,1
20160077,1,2016-06-13,2016,6,13,AVENIDA,1,-58.37027770,-34.60536123,PEATON,PASAJEROS,Noche,0
20160078,1,2016-06-13,2016,6,13,AVENIDA,3,-58.40491455,-34.61463830,MOTO,MOTO,Noche,0
20160079,1,2016-06-16,2016,6,16,AVENIDA,13,-58.45504154,-34.54864492,AUTO,AUTO,Tarde,0
20160081,1,2016-06-22,2016,6,22,AVENIDA,12,-58.48721060,-34.55904606,MOTO,AUTO,Mañana,0
20160082,1,2016-06-27,2016,6,27,AVENIDA,4,-58.42273092,-34.64228803,PEATON,AUTO,Noche,1
20160083,1,2016-06-28,2016,6,28,AVENIDA,6,-58.44788671,-34.62539009,PEATON,MOTO,Noche,1
20160084,1,2016-06-29,2016,6,29,CALLE,1,-58.38110563,-34.60135531,PEATON,PASAJEROS,Noche,1
20160085,1,2016-06-29,2016,6,29,AVENIDA,4,-58.42378834,-34.65734100,MOTO,OTRO,Noche,0
20160086,1,2016-06-30,2016,6,30,AVENIDA,10,-58.48727942,-34.63652467,PEATON,PASAJEROS,Tarde,1
20160087,1,2016-07-02,2016,7,3,AUTOPISTA,1,-58.37864583,-34.62907067,MOTO,OBJETO FIJO,Madrugada,1
20160088,1,2016-07-11,2016,7,11,CALLE,12,-58.50151750,-34.56767549,PEATON,AUTO,Tarde,1
20160089,1,2016-07-14,2016,7,14,AUTOPISTA,13,-58.43233425,-34.55185825,PEATON,AUTO,Mañana,1
20160090,1,2016-07-14,2016,7,14,AVENIDA,5,-58.41971993,-34.61112240,PEATON,PASAJEROS,Noche,1
20160092,1,2016-07-15,2016,7,15,GRAL PAZ,13,-58.46743471,-34.53476874,MOTO,CARGAS,Mañana,1
20160093,1,2016-07-17,2016,7,17,AVENIDA,6,-58.44362126,-34.62301748,AUTO,AUTO,Madrugada,1
20160095,1,2016-07-23,2016,7,23,AVENIDA,11,-58.51713095,-34.59546519,MOTO,AUTO,Mañana,1
20160096,1,2016-07-25,2016,7,25,AUTOPISTA,8,-58.47433193007387,-34.66684950051973,MOTO,CARGAS,Mañana,0
20160097,1,2016-07-26,2016,7,26,CALLE,1,-58.39038605,-34.61562810,PEATON,AUTO,Noche,1
20160098,1,2016-07-27,2016,7,27,AVENIDA,3,-58.40042405,-34.62356174,MOTO,CARGAS,Tarde,0
