ID,ROL,VICTIMA,SEXO,EDAD
20160022,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41
20160027,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34
20160031,CONDUCTOR,MOTO,MASCULINO,21
20160048,PEATON,PEATON,FEMENINO,30
20160064,PEATON,PEATON,MASCULINO,20
20160067,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30
20160068,CONDUCTOR,MOTO,MASCULINO,58
20160073,CONDUCTOR,MOTO,MASCULINO,23
20160074,CONDUCTOR,AUTO,MASCULINO,60
20160077,PEATON,PEATON,FEMENINO,30
20160078,CONDUCTOR,MOTO,MASCULINO,30
20160079,CONDUCTOR,AUTO,FEMENINO,51
20160081,CONDUCTOR,MOTO,MASCULINO,40
20160085,NO IDENTIFICADO,MOTO,MASCULINO,30
20160096,CONDUCTOR,MOTO,MASCULINO,30
20160098,CONDUCTOR,MOTO,FEMENINO,43
20160099,CONDUCTOR,CARGAS,MASCULINO,45
20160102,CONDUCTOR,MOTO,MASCULINO,29
20160106,PEATON,PEATON,MASCULINO,38
20160107,CONDUCTOR,MOTO,MASCULINO,21
20160113,PEATON,PEATON,FEMENINO,60
20160117,CONDUCTOR,AUTO,MASCULINO,43
20160123,CONDUCTOR,MOTO,FEMENINO,58
20160124,PEATON,PEATON,MASCULINO,67
20160125,CONDUCTOR,MOTO,MASCULINO,30
20160126,CONDUCTOR,AUTO,MASCULINO,37
20160126,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,60
20160127,PEATON,PEATON,MASCULINO,50
20160131,PEATON,PEATON,MASCULINO,35
20160136,CONDUCTOR,MOTO,NO IDENTIFICADO,30
20160137,CONDUCTOR,MOTO,MASCULINO,30
20160138,CICLISTA,BICICLETA,FEMENINO,33
20160139,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,35
20160140,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,20
20160144,PEATON,PEATON,MASCULINO,83
20160146,PEATON,PEATON,FEMENINO,29
20160148,CONDUCTOR,MOTO,MASCULINO,30
20160154,CONDUCTOR,MOTO,MASCULINO,38
20160155,PEATON,PEATON,FEMENINO,29
20160157,CONDUCTOR,MOTO,MASCULINO,23
20160163,CONDUCTOR,MOTO,MASCULINO,23
20160164,CONDUCTOR,AUTO,MASCULINO,29
20160165,CICLISTA,BICICLETA,MASCULINO,37
20160171,CONDUCTOR,MOTO,NO IDENTIFICADO,30
20160173,CONDUCTOR,MOTO,MASCULINO,35
20160175,PEATON,PEATON,FEMENINO,30
20160176,CONDUCTOR,MOTO,MASCULINO,28
20160177,PEATON,PEATON,FEMENINO,27
20160178,PEATON,PEATON,FEMENINO,7
20170041,CONDUCTOR,MOTO,MASCULINO,17
20170112,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,1
20170115,CONDUCTOR,MOTO,MASCULINO,34
20170126,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,39
