ID,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
20160001,CONDUCTOR,MOTO,MASCULINO,19,2016-01-01
20160002,CONDUCTOR,AUTO,MASCULINO,70,2016-01-02
20160003,CONDUCTOR,MOTO,MASCULINO,30,2016-01-03
20160005,CONDUCTOR,MOTO,MASCULINO,29,2016-02-01
20160008,CONDUCTOR,MOTO,MASCULINO,30,2016-01-24
20160009,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29,2016-01-26
20160010,CONDUCTOR,MOTO,MASCULINO,18,2016-01-29
20160012,CONDUCTOR,MOTO,MASCULINO,22,2016-02-08
20160013,PEATON,PEATON,MASCULINO,16,2016-02-10
20160015,PEATON,PEATON,FEMENINO,16,2016-02-14
20160016,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19,2016-02-14
20160017,PEATON,PEATON,MASCULINO,59,2016-02-16
20160019,PEATON,PEATON,FEMENINO,65,2016-02-17
20160020,PEATON,PEATON,MASCULINO,59,2016-03-02
20160021,CONDUCTOR,AUTO,MASCULINO,34,2016-02-17
20160025,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34,2016-02-28
20160026,CONDUCTOR,AUTO,MASCULINO,30,2016-03-04
20160028,PEATON,PEATON,MASCULINO,50,2016-03-02
20160029,PEATON,PEATON,MASCULINO,38,2016-03-04
20160034,PEATON,PEATON,MASCULINO,52,2016-03-12
20160035,CONDUCTOR,MOTO,MASCULINO,34,2016-03-13
20160036,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36,2016-03-14
20160037,CONDUCTOR,MOTO,MASCULINO,20,2016-03-19
20160038,PEATON,PEATON,MASCULINO,29,2016-03-21
20160039,CONDUCTOR,MOTO,MASCULINO,20,2016-03-23
20160041,CONDUCTOR,MOTO,MASCULINO,54,2016-03-29
20160041,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30,2016-03-30
20160043,PEATON,PEATON,FEMENINO,56,2016-03-30
20160044,CONDUCTOR,MOTO,MASCULINO,24,2016-03-31
20160047,PEATON,PEATON,MASCULINO,41,2016-04-15
20160050,PEATON,PEATON,MASCULINO,78,2016-04-19
20160051,CONDUCTOR,MOTO,MASCULINO,36,2016-04-20
20160053,PEATON,PEATON,MASCULINO,38,2016-04-22
20160054,CONDUCTOR,MOTO,MASCULINO,30,2016-04-25
20160055,PEATON,PEATON,MASCULINO,79,2016-04-28
20160056,CONDUCTOR,MOTO,MASCULINO,26,2016-04-26
20160058,PEATON,PEATON,FEMENINO,57,2016-05-08
20160059,PEATON,PEATON,MASCULINO,37,2016-05-26
20160065,PEATON,PEATON,MASCULINO,20,2016-05-20
20160069,CONDUCTOR,AUTO,MASCULINO,30,2016-05-23
20160075,PEATON,PEATON,MASCULINO,42,2016-06-12
20160076,PEATON,PEATON,FEMENINO,53,2016-06-13
20160082,PEATON,PEATON,MASCULINO,87,2016-07-05
20160083,PEATON,PEATON,FEMENINO,76,2016-06-29
20160084,PEATON,PEATON,MASCULINO,57,2016-07-08
20160086,PEATON,PEATON,MASCULINO,75,2016-07-01
20160087,CONDUCTOR,MOTO,MASCULINO,23,2016-07-03
20160088,PEATON,PEATON,FEMENINO,70,2016-07-14
20160089,PEATON,PEATON,MASCULINO,35,2016-07-14
20160090,PEATON,PEATON,MASCULINO,60,2016-07-15
20160092,CONDUCTOR,MOTO,MASCULINO,24,2016-07-15
20160093,CONDUCTOR,AUTO,MASCULINO,35,2016-07-19
20160095,CONDUCTOR,MOTO,MASCULINO,29,2016-07-23
20160097,PEATON,PEATON,MASCULINO,80,2016-08-12
20160100,CONDUCTOR,MOTO,MASCULINO,57,2016-08-03
20160104,CONDUCTOR,MOTO,MASCULINO,21,2016-08-15
20160105,PEATON,PEATON,MASCULINO,19,2016-08-26
20160109,CONDUCTOR,AUTO,FEMENINO,53,2016-08-24
20160111,CONDUCTOR,MOTO,MASCULINO,27,2016-08-25
20160112,CONDUCTOR,MOTO,MASCULINO,24,2016-08-27
20160114,CICLISTA,BICICLETA,FEMENINO,55,2016-08-31
20160116,CONDUCTOR,MOTO,MASCULINO,30,2016-09-02
20160118,CONDUCTOR,AUTO,MASCULINO,27,2016-09-04
